FileName,AwardTitle,AGENCY,AwardEffectiveDate,AwardExpirationDate,AwardAmount,AbstractNarration
2001206.xml,"Collaborative Research: A Software System for Research in Algebraic Geometry, Commutative Algebra, and their Applications",NSF,2020-10-01,2025-09-30,622632,"With the advent of widely available fast computing, computational experiments have become more important in every branch of science and mathematics. Macaulay2 is a software system that leads in facilitating the use of symbolic and symbolic-numeric computation in multidisciplinary investigations.  The computations it can perform have uses in many fields of mathematics, computer science, and natural sciences.  The research under this project extends the computational methods built into Macaulay2.  The project will promote collaborations between Macaulay2 developers from the research community, on the one hand, and applied scientists and pure mathematicians, on the other. This project provides research training opportunities for students.&lt;br/&gt;&lt;br/&gt;Macaulay2 is an open-source computer algebra system dedicated to solving systems of polynomial equations in many variables as well as computing and processing data that describe the underlying geometry of the solution sets.  The three major aspects of this proposal are: research on core mathematical topics and applications outside mathematics; the maintenance and development of Macaulay2 as part of the infrastructure of research; and the development of manpower through training, conferences and collaborations, especially involving young researchers.  The impact outside mathematics includes investigating problems from physics, biology, computer vision, and other areas where nonlinear algebra is a key ingredient.  The project will maintain and develop Macaulay2 as a major tool for research, especially by improving the core algorithms for Groebner bases and free resolutions and by improving its facilities that combine symbolic and numerical computation.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2000302.xml,CAREER: Design of in-line controllers for continuously operating networks with structural uncertainty,NSF,2019-06-06,2022-07-31,344623,"This project focuses on designing control mechanisms for a networked system with unknown structure by making use only of non-invasive observations. By non-invasive observations, it is meant that what is being measured is not the system reaction to actively injected inputs, but rather the system behavior when it is operating under standard conditions and subject to potentially unobservable forcing signals. The capability of designing controllers based only on non-invasive observations is of paramount importance for any large scale network fulfilling critical or uninterruptible functions (i.e., a power grid, a logistic system) or in situations where it is impractical or too expensive to inject known probing signals into the system (i.e., a gene network, a financial network). Other relevant applications are in medicine (i.e., repeated drug testing, computer- assisted anesthesia). Indeed, in these cases, for obvious safety and health concerns, it is not desirable to actively test the response of a patient to a different drug dosage or treatment, if comparably useful information could be inferred from non-invasive observations.&lt;br/&gt;&lt;br/&gt;Since non-invasive observations do not always provide full information about the network's configuration, the project will also consider how to define adequate control mechanisms that are robust with respect to uncertainties in the connectivity structure. These kinds of uncertainties are not typically considered in standard techniques for control design and the development of specific methodologies is required. Combined with the capability of adapting to changes in the network's configuration, these control techniques will provide a solid foundation for the realization of a self-healing system. This project will bridge together different areas, including statistics, computer science, and control theory with a single unifying framework. New courses will be created to facilitate communication among all these communities of researchers, advancing separate fields in a multidisciplinary way."
2001130.xml,Density and Edge Coloring,NSF,2020-04-01,2022-10-31,94005,"A graph is a mathematical structure that can be used to model relationships between objects. Take social networking as an example: each person in the network could be considered as a point, called a vertex, and two people are joined by an edge if they are friends. Edge-coloring studies the ways one can color edges of a graph under some restrictions. For example, a proper edge-coloring is an assignment of colors to the edges of a graph so that no two edges sharing the same vertex have the same color.  One important problem is to find the smallest number of colors possible that can be used for a proper edge-coloring.  In this project, the PI is planning to address open problems in edge-coloring as well as deriving efficient algorithms for graph coloring problems. Theoretical results and algorithms in edge-coloring have important applications in network problems, communication problems, scheduling problems, and many other optimization problems.<br/> <br/>Density as a graph parameter is involved in many open problems in edge-coloring.  The main goal of this project is to apply density-related techniques such as a generalization of the Tashkinov tree method obtained in attacking the Goldberg-Seymour conjecture, and a generalized Kempe Change method developed in exploring the Hilton-Zhao conjecture, to attack the following density-related problems: (1) the Hilton-Zhao conjecture and the overfull conjecture; (2) Gupta’s co-density conjecture; (3) Goldberg’s generalization of the total coloring conjecture for multigraphs; and (4) finding efficient algorithms to color graphs with the optimal number of colors in the conjectures above.  The PI is also hoping to develop new density-related techniques through exploring the above problems.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2001760.xml,Modern Neutrino Physics in Neutron Star Merger Models,NSF,2020-09-01,2022-12-31,234000,"Sherwood Richers is awarded an NSF Astronomy and Astrophysics Postdoctoral Fellowship to conduct a program of research and education at the University of California, Berkeley.  He will perform computer simulations of the effect of subatomic particles called neutrinos on material ejected during the merger of two neutron stars.  The treatment of neutrinos remains one of the biggest sources of uncertainty in modeling these events. Results from this research will allow astronomers to understand how heavy elements are formed in binary neutron star mergers, which are sources of gravitational waves.  Along with this research, Richers will conduct astronomy outreach to high school and college students in Central America.<br/><br/>This research project will incorporate key physical processes, including neutrino transport, collisions, and flavor transformation, into existing large-scale computer codes used for modeling neutron star mergers.  The central thrust of the project is a rigorous treatment of the impact of neutrino flavor transformation on merger ejecta.  Including this critical missing process in models will permit a thorough interpretation of light curves from binary neutron star mergers, and allow a better understanding of heavy-element nucleosynthesis in such mergers.  This project advances the goals of the NSF Windows on the Universe Big Idea.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2000330.xml,Excellence in Research: Biofilm Adhesive and Kinetic Properties Under Hydrodynamic Influences During Early Evolution Stages,NSF,2020-08-01,2025-07-31,712172,"Biofilms are aggregates of bacteria.  Biofilms play important roles in ecological, industrial, and biomedical processes of national relevance. For example, they are associated with biofouling, where microorganisms attach to surfaces and reduce the performance of machines. In medical fields, biofilms play a key role in the development of antibiotic-resistant microorganisms. Biofilms often form in wet environments under fluid flow. Although a large body of knowledge on biofilm formation exists, little is known about how initial single- and multi-cell interactions and fluid flow influence the growth and final structure of biofilms. This project will analyze the fundamental processes that govern cell interactions within a biofilm in fluid flow environments. The results will improve understanding of the developmental stages of microbial biofilm formation by investigating the bacteria cell responses under flow conditions. This may ultimately lead to a way to control biofilm evolution.  These outcomes could also help with novel diagnosis and treatment methods for problems caused by biofilms. This project is a collaboration between researchers at two two Historically Black Colleges and Universities (HBCUs) and one national lab.  The institutions are Howard University, Florida A&M University, the National High Magnetic Field Laboratory. The project supports the interdisciplinary training of underrepresented groups.  Undergraduate, graduate, and K-12 students in STEM (Science, Technology, Engineering, and Mathematics) will participate at their respective institutions.   <br/> <br/>Biofilms constitute an inherent part of the natural life cycle of most microorganisms, and most bacterial biofilms develop under hydrodynamic stress. The hypothesis is that the cost of growing and evolving in hydrodynamic conditions for these banks of bacteria has a net effect of initiating and promoting intrinsic physical, physiological, and kinetic properties that may contribute to biofilm resistance and resilience. This project presents a novel strategy to investigate the impact of hydrodynamics that occurs within bacterial communities using live and model bacteria systems and high-resolution fluorescent velocimetry. This research integrates theoretical and experimental work with the following objectives: (1) Investigate the various hydrodynamic conditions at the substratum boundary and their effect on the adhesion kinetics and spatial distribution of bacterial cells and (2) Determine the impact of hydrodynamic forces on the intercellular and interspecies interactions during biofilm evolution, and (3) Develop a working model for predicting the kinetics of recruitment and detachment of bacteria to and from biofilms under hydrodynamic milieus.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2003126.xml,Advancing Refugee Youth's STEM and Social Capital Through Family-Focused Learning,NSF,2021-01-01,2023-12-31,299787,"This project creates partnerships among multiple schools and centers at Arizona State University with the Burundi-America Association for Humanity and Opportunities (BAAHO) to bolster representation of refugee families in STEM academic and career pathways. Refugee youth are sometimes overlooked by educators because of their emerging language skills, but like other youth they are capable of making important STEM contributions. This project recognizes and leverages the STEM knowledge and perspectives of Burundian refugee adults through a family-focused model that connects Burundian refugee families with university faculty and undergraduate students. Families with children ages 12-17 will participate in: “living room outreach events” facilitated by students and faculty, opportunities to meet and interact with STEM professionals, field trips to multiple university campuses to learn about college life and various STEM pathways, and informal STEM learning experiences of choice with other families. Additionally, older children will participate in an innovative technology experience that facilitates mentoring relationships between STEM professionals and the youth through an electronic-based STEM Aspiration journal shared between the mentee and mentor. At the core of the project are partnerships and opportunities for reciprocal learning, where parents are able to share their expertise while also learning more about how to be effective advocates for their children; youth are able to learn from undergraduate and practicing professional mentors, while undergraduates also learn from Burundian youth; and Burundian leaders teach faculty and undergraduates about Burundian history and culture while faculty and undergraduates share their experiences with navigating STEM career pathways. <br/><br/>The project advances knowledge of refugee families’ STEM experiences and aspirations through research framed around social cognitive career theory. The investigators examine the composite and specific effects of each of the project activities on the youth participants’ self-efficacy, STEM identity, outcome expectations, and STEM interests, in support of their STEM goals. Additionally, the researchers aim to understand how college social capital and STEM capital among Burundian refugee families both directly impacts and acts as a moderator on children's STEM aspirations. In this pilot study, the investigators take a mixed-methods research approach, where qualitative methods allow them to understand how different aspects of the program impact the youth participants. In collaboration with Burundian leaders, the researchers adapt survey instruments for cultural validity, and administer the surveys for additional data related to the impact of the program activities. Contributions from this project will include: a family-focused outreach model that can be used by other universities and/or with other refugee communities, an approach to facilitating remote mentoring through shared electronic journaling,  research findings related to how different aspects of the model impact refugee participants, and research instruments that have been adapted for use with refugee populations. The project will provide a foundation for possible future scale-up with other refugee populations (and in other communities), informed by the findings from this project and further supported by the International Rescue Committee. <br/><br/>This project is funded by the Innovative Technology Experiences for Students and Teachers (ITEST) program, which supports projects that build understandings of practices, program elements, contexts, and processes contributing to increasing students' knowledge and interest in science, technology, engineering, and mathematics (STEM) and information and communication technology (ICT) careers.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2000175.xml,Excellence in Research: Biophysical mechanism by which mannose and N glycans modifies and protects biological surfaces,NSF,2020-07-15,2025-06-30,612707,"The surface of pathogens is shielded by short polymers of sugars known as glycans. Glycans mask pathogens and signature molecules from host cells and confound therapeutic treatments. N-glycans are the commonly found type of glycans found on cell surfaces.  Pathogens like Ebola, SARS, HIV, and COVID 19 are shielded by N-glycans having high mannose content, with the mannose content sometimes increasing during the host infection. The goal of the proposal is to investigate what biophysical properties of mannose residues present in shields of N-glycans confer protection of pathogens against the host immune system. This project will train graduate and undergraduate students and provide an annual hands-on STEM workshops to engage high school students in research and everyday science. Understanding how mannose residues presented in N-glycans protect pathogens will help us strategically disarm the glycan shield fortress, thereby making pathogens more vulnerable to detection, sanitizing, and treatment.  <br/><br/>Despite the ubiquitous presence of glycan sugars on biological surfaces, little is known currently about how glycans steer interfacial effects like aggregation, biofilm formation, charge shielding, antifouling, immune-stealth, and transport through mucus. This project will lead to a better understanding of the biophysics of mannose residues when presented in N-glycan architecture along with non-mannose sugars, and how they relate to the improved solubility and aggregation, mucous penetration, and immune evasion of glycosylated molecules. To understand the uniqueness of mannose biophysics and how it interplays with other N-glycan sugars, the cross- and self- interactions of all N-glycan sugars will be determined, and rules for integrating single-sugar biophysics to glycosylated system behavior will be evaluated. A pseudo-typed HIV virus is the controlled sugar-presentation platform. These studies will synergistically link observations from force-spectroscopy, rheology, and dynamic light scattering, along with perturbations from glycosidase and lectin addition.  This project is jointly supported by the Historically Black Colleges and Universities (HBCU) Excellence in Research program and the Molecular Biophysics program in the Molecular and Cellular Biosciences Division.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2002460.xml,Collaborative Research: P2C2--Unravelling the Signals in Tropical Pacific Lake Archives: Towards Improved Holocene Hydroclimate Reconstructions,NSF,2020-07-01,2025-06-30,547191,"This project aims to use a new interdisciplinary toolbox to resolve inter-site uncertainties by synthesizing existing lake sediment cores records with existing global climate models to simulate atmospheric moisture transport, build proxy-system models, and ultimately improve the understanding of tropical precipitation variability and change.<br/><br/>The largest single cause, globally, in interannual precipitation variability is associated with the El Nino-Southern Oscillation (ENSO) phenomenon.  Large uncertainties remain regarding the magnitude and direction of the projected precipitation response with ENSO.  Numerous lake sediment paleoclimate reconstructions have been developed from the Amazon, Andes, and Galapagos Archipelago with the goal of understanding the response of ENSO and tropical hydroclimate (i.e., precipitation amount, intensity, and seasonality) to past climate changes.  Disagreement between these records, however, complicates the ability to prepare for climate risks and hydroclimate extremes.<br/><br/>This project specifically aims to: (i) improve the interpretation of tropical lake sediment archives and facilitate proxy-model comparisons using high-resolution moisture tracking simulations with a comprehensive climate model; (ii) constrain the sensitivity of tropical paleo-climate records from the early-Holocene to present; and (iii) synthesize climate reconstructions from lakes with climate model simulations to understand tropical hydroclimate variability across spatial and temporal scales.<br/><br/>The potential Broader Impacts include improved understanding of the magnitude, timing, and drivers of tropical hydroclimate variability over the Holocene.  The project will also provide support for two early-career researchers, a postdoctoral fellow, two graduate students, and undergraduate students.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2002444.xml,"Collaborative Research: Response of the Tropical Pacific to the Abrupt Climate Change Event 8,200 Years Ago",NSF,2020-10-01,2024-05-31,173502,"A catastrophic outburst of glacial meltwater into the Labrador Sea 8,200 years ago disrupted Atlantic Ocean circulation, plunging the North Atlantic region into cold conditions for more than a century and impacting climate globally. Some climate models indicate that the vast tropical rain bands may shift south in response to such a perturbation, which has important implications for understanding how the climate might change in the future if a warming ocean disrupts ocean circulation. Yet few reconstructions of rainfall exist from the tropics that span the 8,2000-year-ago time interval, making it difficult to confirm the model-based predictions. To remedy this data gap this project will reconstruct rainfall changes in the tropical Pacific from chemical variations in lake sediments in Palau and the Galápagos that lie on the northern and southern edges of the modern tropical rain band. The research will include climate model simulations elucidating the rainfall changes expected in Palau and the Galápagos in response to a meltwater addition to the North Atlantic similar in size to that estimated during the 8,200-year-ago event. A workshop will be held for Micronesian high school teachers along with an experiential learning coarse in Kosrae (Micronesia). Students from the University of Washington will work with high school teachers and conduct field exercises and create curricular activities based on their experiences. &lt;br/&gt; &lt;br/&gt;Rainfall will be reconstructed from hydrogen isotope ratios of the microalgal lipid dinosterol in radiocarbon-dated sediments from lakes in Palau and the Galápagos. Confidence in the regional nature of the hydrogen isotope signals will be achieved through replication of measurements, sediment cores, lakes, and islands. All nine sediment cores, which range in length from 2-15 m, have been collected, and most have initial radiocarbon chronologies. A temporal resolution of 25-40 yr is proposed for the 7,000-9,000-year-ago interval of each core, which ranges in thickness from 50-250 cm. The remainder of the Holocene period in each core will have hydrogen isotope data produced at 250-500-yr resolution in order to place any of the 8,200-yr-ago excursions in the context of the full Holocene. Interpretations of these rainfall reconstructions, including their global context, will be aided by simulations with the isotope-enabled Community Earth System Model forced with realistic meltwater fluxes to the Labrador Sea. Because models diverge widely in their response of tropical Pacific rainfall to freshwater forcing, our rainfall reconstructions will provide a critical benchmark for these models and help constrain the mechanisms by which the tropics respond to abrupt AMOC disruptions.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2001190.xml,RoL: RUI: Collaborative Research: Understanding the Ecological and Genomic Bases of Local Adaptation in an Obligate Pollination Mutualism,NSF,2020-07-01,2025-06-30,1112316,"All living things must manage stress from their environment and interactions with other living things. Biologists have long believed that interactions with predators, competitors, and helpful mutualists are a powerful force in the history of life, helping to spur the formation of new species. However, it is difficult to test whether interactions between living things have been more important than the effects of the physical environment like heat, freezing, or drought. This project makes that comparison by taking advantage of a unique interaction between species that live in the extreme environments of the Mojave Desert. Joshua trees, the spikey, twisted-looking trees found across the Mojave, cannot produce fruit without the help of yucca moths. Joshua tree flowers appear to be adapted to the moths, but the trees also experience extreme heat and drought, and it seems likely that these effects of the physical, nonliving environment also impact their survival. The Joshua Tree Genome Project will use genetic sequencing and experiments with Joshua tree seedlings to study how the trees cope with different climates in different parts of the desert. The project collaborators can then compare the effects of climate on Joshua tree populations to the effects of their interaction with yucca moths. The team will also engage volunteers and science teachers across the Mojave region to measure and monitor Joshua tree populations in their own backyards. By examining the Joshua tree's adaptation to climate in detail for the first time, this project will help to answer a longstanding question in the history of life on Earth — whether interactions between living things or the physical environment have been more important — and develop scientific tools and community partnerships that can help protect Joshua trees under changing future climates.<br/><br/>The Joshua Tree Genome Project is a collaboration of ecologists, geneticists, bioinformaticians, and plant physiologists at Willamette University, California State University Northridge, the Universities of Alabama and Hawaii, and the US Geological Survey Western Ecological Research Center. The collaborators will plant Joshua tree seedlings at common-garden sites around the Mojave, monitor their growth and physiological performance, and use RNA sequencing to identify genes that are differentially expressed in different climates. The team will complete a Joshua tree reference genome and use it with the gene expression results to design a sequence capture array for targeted sequencing of hundreds of trees. Targeted sequencing will allow them to perform genome-wide association study (GWAS) of physiological traits that contribute to seedlings’ survival and performance in the common gardens, and of floral traits related to pollination by yucca moths. The team will then use landscape genomic analyses to identify genes showing signatures of local adaptation to variation in climate and moth traits. Meanwhile, the team will expand a participatory science program working with Mojave-regional conservation nonprofits and K-12 educators to train volunteers to survey the demography of Joshua tree populations, recording how many trees flower and produce fruit, and how many young trees are present to renew the population. Finally, the team will use the results of their genetic analyses to build a genomic prediction protocol that can project the physiological and pollination-related traits of a Joshua tree population from genetic data alone. The team will use this protocol to predict the traits of trees at sites profiled by volunteer surveys, and test for relationships between populations’ predicted trait values and their demographic health. This will allow them to identify specific traits that influence the fitness of Joshua trees in current conditions, and would provide a tool to assess the resilience of Joshua tree populations in future climates.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2000028.xml,Research Initiation Award: Microwave Synthesis of Imidazole Compounds to Investigate Allosteric Binding to VCP,NSF,2020-05-01,2023-10-31,354503,"Research Initiation Awards provide support for junior and mid-career faculty at Historically Black Colleges and Universities who are building new research programs or redirecting and rebuilding existing research programs. It is expected that the award will (1) further the faculty member's research capability and effectiveness, (2) improve research and teaching at the home institution, and (3) engage more undergraduate students from underrepresented groups in research experiences. The project from Bowie State University, a Historically Black College/University (HBCU), seeks to study the structural requirements for allosteric binders to certain enzymatic proteins that maintain protein homeostasis in mammalian, yeast, and plant cells.  The project integrates computational chemistry and biology with analogous bench research.  In addition, it is designed to include undergraduate and high school students as active researchers. Collaboration and mentorship will take place throughout the project. The PI will collaborate with another researcher at Georgetown University, while the undergraduates will serve as mentors to the high school students under the supervision of the PI.  <br/><br/>VCP is an ATPase which plays a major role in the ubiquitin proteasome system (UPS).  The UPS is responsible for degrading unfolded proteins through the proteasome in order to relieve cellular stress. Once tagged with ubiquitin, VCP translocates the proteins from the ER to the cytosol. VCP binders have been shown to cause an accumulation of ubiquitinated proteins which ultimately leads to cell death. This is favorable when the system is being exploited to avoid apoptosis. Six-membered ring heterocycles have been shown to act as ATP-competitive binders and are therefore unselective.  Five-membered ring heterocycles bind to an allosteric site of VCP and are highly selective. However, it is unclear what the structural requirements for allosteric binders are. We propose the synthesis of imidazole compounds through a microwave-assisted multicomponent reaction in order to access a variety of imidazole compounds with numerous substitution patterns.  These compounds will be tested and ultimately help define the structural requirements for allosteric binding to VCP.  We will also measure the effect of these imidazoles on VCP activity and cell death.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2002446.xml,"Collaborative Research:  P2C2--East African Monsoon Hydroclimate over the Last 11,500 Years",NSF,2020-08-01,2022-07-31,54873,"This project aims to build proxy records of speleothem stable isotopes to discern decadal to centennial scale variability in eastern African hydroclimate. The study site is sensitive to large- scale features of the global atmospheric circulation (El nino Southern Oscillation, Walker circulation, monsoon system) and new hydroclimate records will improve the understanding of the drivers of decadal to millennial hydroclimate change in this key region and beyond. <br/><br/>Specifically, the researchers will: 1) Establish a high–resolution multi-cave geochronology using extensive Uranium-Thorium (U-Th) dating to determine the duration and magnitude of hydroclimate changes in East Africa. These high-resolution dates will allow identification of active growth intervals vs dry intervals as expressed across the network of caves; 2) Characterize the role of different processes (e.g. large-scale atmospheric circulations and convective processes, local land-atmospheric processes such as re-evaporation etc, and karst hydrological processes such as mixing, recharge) on modern rainwater and dripwater oxygen stable isotopes via the monitoring of cave modern hydrology, analysis of instrumental climate data,  and isotope-enabled climate model output; 3) Carry out high-resolution reconstructions of relatively short intervals at ~ 9000 years  that are shared across several stalagmites as identified through the U-Th dating targeting. <br/><br/>The potential Broader Impacts include generating a detailed knowledge of the nature, timing, and local/regional extent of climatic and environmental changes in Eastern Africa over the last 11,500 years and links to large- scale features of the global atmospheric circulation. The project will provide training for undergraduate and graduate students and will contribute to training of next generation climate scientists particularly from underrepresented groups. Focus will be on cross training in analytical techniques, data analysis, and modeling. This project will facilitate knowledge-based international cooperation with Ethiopian universities.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2001089.xml,Logarithmic Geometry and the Gauged Linear Sigma Model,NSF,2020-08-01,2024-07-31,179999,"Algebraic varieties are a class of geometric objects obtained by gluing together sets of solutions of polynomial equations. In string theory, a branch of theoretical physics, algebraic varieties are used to describe fine pieces of our universe. In this theory, everything is made of tiny strings which travel through spacetime, and trace out algebraic curves in some algebraic varieties. Gromov-Witten invariants, originating from physics, are virtual counts of algebraic curves in algebraic varieties satisfying prescribed incidence constraints. They are used in physic to describe the structures of our universe. They also provide new approaches and insights to classical problems from algebraic geometry. Despite their importance, these invariants are very difficult to compute. The primary goal of this project is to develop a new method to calculate Gromov-Witten invariants by investigating the boundary of the gauged linear sigma model from physics using tools of logarithmic structures from algebraic geometry. This project provides research training opportunities for graduate students.&lt;br/&gt;&lt;br/&gt;In more detail, this project focuses on studying the geometry of the gauged linear sigma model (GLSM) using stable log maps of Abramovich-Chen-Gross-Siebert. The GLSM proposed by Witten in the 1990s can be viewed as a deep generalization of the hyper-plane property of Gromov-Witten invariants in all genus. However, the moduli stacks in GLSM which carry the perfect obstruction theory for defining GLSM invariants are in general non-proper. This presents a major difficulty in calculating GLSM invariants. Recently, log compactifications of hybrid-type GLSM were constructed by Chen, Janda, and Ruan using stable log maps. These compactifications provide proper moduli stacks carrying a reduced perfect obstruction theory whose associated virtual cycles recover the GLSM virtual cycles. This project is an integrated study aiming at a new computational method for calculating Gromov-Witten invariants by investigating the structures of the virtual cycles of these log compactifications.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2000127.xml,RAPID: Collaborative Research: Tracking Amazon Forest Fires from Source to Sink,NSF,2019-11-01,2021-10-31,63789,"Fire plays a key role in Earth's ecosystem dynamics with profound effects on biogeochemical processes, climate, and environmental quality beyond the significant threat to people and infrastructures. This year has seen the most forest fires in the Amazon Basin of Brazil since 2010, providing a compelling opportunity to study the impact of fires on carbon fluxes in the Amazon River system, and, together with an auspiciously-timed cruise planned to the Guyanas mudbanks in 2020, to characterize the corresponding signature of biomass burning along the entire continuum from source on land to sink in the oceans. This project takes advantage of this opportunity through time series sampling of the dissolved and particulate load in the headwaters and the lower reaches of the Amazon River. This effort will be combined with targeted sampling campaigns across the full river depth profile at high and low discharge to capture the export of material to the Atlantic Ocean. Pyrogenic carbon concentration and composition will be measured by combining specific molecular work (anhydrous sugar levoglucosan and benzene polycarboxylic acids, or BPCAs) with ramped pyrolysis oxidation to characterize the chemical continuum that makes up pyrogenic carbon. Radiocarbon content and stable carbon isotope composition will help to distinguish pyrogenic carbon derived from combustion of living biomass (as opposed to that eroded from soils or old sediments, for example). Compared to a baseline established during a period of time when fire activity in the Amazon basin was relatively low, river samples from 2019 offer a chance to test whether pyrogenic carbon fluxes to the ocean respond to an increase in fire activity. The offshore samples will allow for characterizing how this pyrogenic carbon is transformed and/or preserved in the coastal ocean. Rapid-response funding will be essential to capitalizing on the unique combination of existing baseline data, the pronounced increase in fire activity this year, and the planned 2020 cruise. The outcome of this project will lay the groundwork for future efforts at reconstructing past fire activity, e.g., in association with upcoming drilling projects in the Amazon system supported by International Continental Scientific Drilling Program and the International Ocean Drilling Program. Finally, the project will interface with the Woods Hole Partnership Educational Program, which is designed to provide college students from underrepresented minorities opportunities to gain practical experience in marine and environmental sciences.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2001090.xml,Collaborative Research: Fluid Dynamics-based analysis towards control of sleep apnea,NSF,2019-09-01,2020-12-31,89225,"PI:  Dong, Haibo / XI, Jinxiang<br/>Proposal Number: 1605232 / 1605434<br/>The goal of the proposed research is to investigate the fluid dynamics mechanisms that can lead to sleep apnea and to develop fluid dynamics-based strategies for intervention. The importance of understanding the reasons for this condition at a fundamental level is very significant, since this condition that can sometimes result in deaths.<br/><br/>The goal of the proposed research is to advance the fundamental knowledge of biological fluid dynamics in prediction and control of human snoring through a combined physiology-based modeling, physics-based simulation, analysis, verification, and optimization approach. This approach is also applicable to a wide range of engineering and biological systems, such as noise reduction and phonation. There are mainly two objectives: (1) to develop a methodology for unveiling the flow physics and sound-producing mechanism of biological fluid-structure coupling problems and (2) to use the methodology for the investigation of optimal intervention procedures in order to ease the vortex-induced snore symptoms towards a better quality of life. The proposed work is highly interdisciplinary and involves fundamental scientific problems in the fields of biology, physics, physiology, and engineering. Snoring is an audible sign coded with richness of information about human respiratory functions. The sound comes from a complex interaction between compliant airway structures and the transient vortex shedding which is induced by the narrowing of the airway passage. However, the specific snore source mechanisms are still elusive, despite the significant in vitro and clinical efforts. Physics-based numerical investigation of the snore source will promise to quantify the relationship between the nonlinear response of the flexible airways and the respiratory vortex dynamics for sound generation. Currently, snore source diagnosis relies on expensive and time-consuming procedures that are outsourced to special analytical laboratories. Such challenges in performing in vivo and in vitro snore diagnosis will make the numerical methods ideal investigative tools. The PIs propose to systematically study the snore-producing mechanisms of different age and gender groups, paying particular attention to the underlying physics of biological fluid-structure interaction and associated sound sources. This is to be accomplished through the use of a combined modeling, simulation, analysis, validation, and optimization approach. The findings from the proposed research could provide pre-surgical guidelines for alleviating the apnea-causing factors by minimizing sound production of the system. Findings from this work could be used by acoustic experts and respiratory therapists for understanding the sound source production and control from its biological origin. The theories developed from this research will promote accurate diagnosis of snore sources and effective treatment of patients with snoring or other respiratory disorders. The research work will also be the central theme in a multi-level education program in which: (1) PIs will continue to provide summer undergraduate research experience to attract and retain engineering students from under-represented groups; (2) the proposed methodology will be incorporated into the PIs' existing graduate level course on bio-inspired flow and respiratory aerosol dynamics; and (3) an educational lab curriculum in snore specialty will be developed to provide multi-disciplinary training and research opportunities for high-school and college students and to support biomedical and bio-inspired engineering programs in both University of Virginia and Central Michigan University"
2001281.xml,Problems in the Geometry of Numbers and Diophantine Analysis,NSF,2020-07-01,2023-05-31,220490,"A fundamental and central question in mathematics, going back to antiquity, concerns understanding integer solutions to polynomial equations.  This question has been a source of inspiration in modern mathematics, as the techniques used to study this question have helped shape the foundation of several areas such as number theory, algebra, and analysis. This work will bring new perspectives to the field by studying various families of polynomial equations and by finding innovative applications in the rich area of number theory. The project will also enhance the training of graduate students and support mentoring activities and research opportunities for undergraduate students. &lt;br/&gt;&lt;br/&gt;The principal investigator aims to utilize tools from classical Diophantine analysis and modern applications of analytic number theory and arithmetic geometry to study basic arithmetic structures. This work  will combine ideas from the geometry of numbers with both algebraic and analytic tools to study problems such as  representation of integers by binary forms and orders in number fields, as well as various problems about heights in number fields.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
